name,specialty,address,phone
PHOENIX IMAGISTIC SA,RADIOLOGIE SI IMAGISTICA MEDICALA,"ALBA IULIA, STR.B-DUL REPUBLICII, NR 5",799744833
TERRA ASTER,ECOGRAFII,"ALBA IULIA, STR. B-DUL REVOLUTIEI 1989, NR.15, BL.2AB, AP.2",258833408
CMF PETRUTA MARCELA,ECOGRAFII,"ALBA IULIA, STR.SEPTIMIUS SEVERUS, NR.43, BL. TOR 1, AP. 4",258810319
TERRA ASTER,RADIOLOGIE SI IMAGISTICA MEDICALA,"ALBA IULIA, STR. MOTILOR, NR. 17A",258833408
SPITALUL JUDETEAN DE URGENTA ALBA,INVESTIGATII PARACLINICE-RADIOLOGIE SI IMAGISTICA MEDICALA,"ALBA IULIA, STR B-DUL REVOLUTIEI,NR.23",258835729
SPITALUL MUNICIPAL AIUD,INVESTIGATII PARACLINICE-RADIOLOGIE SI IMAGISTICA MEDICALA,"AIUD, STR.SPITALULUI, NR.2",258861817
SPITALUL MUNICIPAL BLAJ,ECOGRAFII,"BLAJ, STR. ANDREI MURESANU, NR.16",258710941
SPITALUL MUNICIPAL BLAJ,INVESTIGATII PARACLINICE-RADIOLOGIE SI IMAGISTICA MEDICALA,"BLAJ, STR. ANDREI MURESANU, NR.16",258710941
SPITALUL MUNICIPAL BLAJ,ECOGRAFII,"SEBEȘ, STR. ANDREI MURESANU, NR.16",258710941
SPITALUL MUNICIPAL BLAJ,INVESTIGATII PARACLINICE-RADIOLOGIE SI IMAGISTICA MEDICALA,"SEBEȘ, STR. ANDREI MURESANU, NR.16",258710941
