Denumire,Specialitate,Adresa,Telefon
SPITALUL CLINIC CF NR. 2,RADIOLOGIE,"B-dul Marasti nr. 63, Sector 1",021-3164208
CM SANA SRL,RADIOLOGIE,"Str. Sergiu Dumitru nr. 3, Sector 1",212128222
S.C. MEDICOVER HOSPITAL S.R.L.,RADIOLOGIE,"Str. Pechea nr. 8, Sector 1",219896
ANIMA SPECIALITY SERVICES SRL,RADIOLOGIE,"Str. Buzeşti nr. 75-77, sector 1",219838
BIO MEDICA INTERNATIONAL SRL,RADIOLOGIE,"Floreasca nr. 111- 113,Sector 1",021.311.77.93
MEDICAL PRESTIGE SRL,RADIOLOGIE,"Sos. Pitar Mos nr. 20, et. 1, Sector 1",212021202
CMDTA DR. CHIRIAC OVIDIU,RADIOLOGIE,"Str. Povernei nr. 40- 42, Sector 1",213127609
SC GRAL MEDICAL SRL,RADIOLOGIE,"Calea Plevnei nr. 17-21, Sector 1",213230000
SC CENTRUL MEDICAL UNIREA SRL,RADIOLOGIE,"Ion Ionescu de la Brad nr. 5B, Sector 1",219268
SC CENTRUL MEDICAL UNIREA SRL,RADIOLOGIE,"George Enescu nr. 12, Sector 1",219268
S.C. SANADOR S.R.L.,RADIOLOGIE,"Sos. Bucuresti – Ploiesti nr. 42-44, sector 1",021.96.99
SC SANADOR SRL,RADIOLOGIE,"Dr. Dimitrie Sergiu nr. 26- 28, Sector 1",021.310.20.09
SC SANADOR SRL,RADIOLOGIE,"Str. Dr. Iacob Felix nr. 32, Sector 1",21.9699
IDS LABORATORIES SRL,RADIOLOGIE,"Str. Av. Teodor Iliescu nr. 50, Sector 1",021.211.58.64
SC MED LIFE SA,RADIOLOGIE,"Calea Grivitei nr. 365, Sector 1",21.9646
MATE-FIN MEDICAL SRL,RADIOLOGIE,"Str. Maior Coravu nr. 20, Sector 2",021.310 16 52
CDT PROVITA SRL,RADIOLOGIE,"Str. Grozovici nr. 1, Sector 2",021.94.32
CM POLICLINICO DI MONZA SRL,RADIOLOGIE,"Str. Tony Bulandra nr. 27, Sector 2",031 225 25 00
S.C. PHOENIX IMAGISTIC CENTER S.R.L.,RADIOLOGIE,"Str. Thomas Masaric nr. 5, Sectror 2","0732.660.173, 0372.920.318"
ANIMA SPECIALITY SERVICES SRL,RADIOLOGIE,"Şoseaua Pipera nr. 42, mezanin, Nusco Tower",219838
S.C. MED EXPERT S.R.L.,RADIOLOGIE,"SOS. Pantelimon nr. 340- 342, Sector 2",213275070
SC CENTRUL MEDICAL UNIREA SRL,RADIOLOGIE,"Dimitrie Pompei nr. 9- 9A, Sector 2",219268
SC EUROMEDIC ROMANIA SRL,RADIOLOGIE,"Fundeni nr. 258, Sector 2",021.316.73.90 / 91 / 92
SPITALUL CLINIC COLENTINA,RADIOLOGIE,"Sos Stefan cel Mare nr. 19-21, Sector 2",021.317.32.45
S.C. SANADOR S.R.L.,RADIOLOGIE,"Str. Decebal nr. 1, bl. H 2, Sector 2",21.9699
POL.MED-LIFE SRL,"radiologie, CT","B-dul Ferdinand nr. 98- 100, Sector 2",21.9646
CL.MED. HIPOCRAT 2000 SRL,RADIOLOGIE,"Str. Basarabia nr. 49- 51, Sector 2",021.311.38.10
C.M.I. DR. MOROIANU SILVIA,RADIOLOGIE,"Str. Tudor Arghezi nr. 28, Sector 2",021.312.74.39
C.M.I. OLTEANU BOGDAN,RADIOLOGIE,"Masina de Paine nr. 47, Sector 2",021.243.07.82
