Denumire,Specialitate,Adresa,Telefon
SC HOME MEDICAL ASSISTANCE SRL,Ingrijiri medicale la domiciliu,"BUCURESTI,Bd. Lacul Tei nr.119, bl.5A1, sc.1, ap.1, sector 2",0314172896; 0736942018
SC MEDICAL DIVERS HELP SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Calea Rahovei nr.266-268, bl.3, ap.30 sector 5",0371015744; 0371012479
SC DOMUM CURATIO SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Dealului, nr. 8, bl. F6 , sc. 3 , et. -, Ap. 49, sectorul 6",740301949
SC ASIST MED KIN SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Pache Protopopescu nr.119, sector 2",753415898
SC ANUBITA MEDICAL SRL,Ingrijiri medicale la domiciliu,"BUCURESTI,Str. Drm. Valea Furcii,nr.93A, bl.PJ5, ap.16,Sector6",737489667
SC AM TECH DISTRIBUTION SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Lanariei nr.101,bl-, ap.1-3 , sector 4",0721904738; 0767619223; 0213353981
SC TOP MED ASSISTANCE SRL,Ingrijiri medicale la domiciliu,BUCURESTI Str. Mihai Viteazu nr.3 sector 1,213105934
ASOCIATIA CENTRUL DE INGRIJIRE CASA SUTER,Ingrijiri medical la domiciliu,"Aleea Suter, nr. 3, sect 4",213373939
SOCIETATEA MEDICALA PENTRU PREVENTIE SI PROFILAXIE IN SANATATE MINTALA,Ingrijiri medicale la domiciliu,"BUCURESTI, bdl. Nicolae Grigorescu nr. 41, sector 3",769659490
SC FERTILIA MEDICAL CENTER SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Gral IOAN CULCER nr.76, sector 6",724500020
SC DOCTOR HOUSE SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Sos. Uverturii nr.81 sector 6",0314253556; 0725220948
SC MEDIKON EXPERT SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Trifoi nr.12, ap.1, sector 3",0213230057 ; 0744588038
ASOCIATIA COMPLEX CARE,Ingrijiri medicale la domiciliu,"BUCURESTI,Str. OBOGA nr.5, bl.160, sc.2 et.9 ap.83 sector 6",765483425
ASOCIATIA MEDICALA SFINTII ARHANGHELI,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Timisoara nr.39, bl.P15 ap.57, sector 6",0730318353; 0762372057
SC HEALTH CARE SOLUTIONS SRL,Ingrijiri medicale la domiciliu,"BUCURESTI,Str. Prelungirea Ghencea nr. 94-100.bl.A2, ap.A2011, sector 6",749128332
SC MEDICAL SOLUTIONS CENTER SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Dristorului, nr. 81/88, bl. B13 , sc. A , et. 8, Ap. 62, sectorul 3",756122254
SC PROHEALTH CENTER SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Petre Ispirescu nr.38,bl.P72B,ap.12, sector 5",725544115
SC LMM HOME CARE SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Sperantei, nr. 27, ap. 1 , parter, cam.13 sectorul 2",722789868
SC MEDICAL HEALTCARE EXPERT SRL,Ingrijiri medicale la domiciliu,"BUCURESTI,Str. Lt. Aurel Botea nr.8,bl.B6,ap.24, sector 3",735211264
SC VITAL HOME CARE SRL,Ingrijiri medicale la domiciliu,"BUCURESTI,Str. Novaci nr. 8, bl. TD 35, AP.63, Sector 5",744650615
SC SORICA IMPEX SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Dinicu Golescu nr.23-25, Sc.3, et.1, ap.13, sector 1",766672704
SC BAU M.A.N CONSTRUCT SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Valea Doftanei nr.113, sector 6",314326555
SC. VINCI MEDICAL SRL,Ingrijiri medicale la domiciliu,"BUCURESTI,Str. Regina Maria nr.27, bl-,ap.3,Sector 4",0213350497; 0758555577
SC LUCO MED HOME CARE SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Atr. Matei Voievod nr.29, scara A, et.2 Birou E 2.9, sector 2",216422068
SC ALMACARE MEDICAL SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Cercetatorilor nr.10, bl.35, ap.91, sector 4",726902967
SC SANOCARE MEDICAL CENTER SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Bd. Ghencea nr.43B, Sector 6",723257520
SC DOCTOR CARE SRL,Ingrijiri medicale la domiciliu,"BUCURESTI,Strada Inclinata nr.1-3, birou 8, Sector 5",0758040765; 0758040766
SC MEDICAL HOME SOLUTION SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Zidurilor nr. 15, ap. Parter P3-birou, sector 2",742088001
SC SILMA MED CONCEPT SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Intrarea Glucozei, nr. 11, sectorul 2",723537052
SC MAVRO SERV-MED SRL BUCURESTI,Ingrijiri medicale la domiciliu,"Sos. Oltenitei nr.254, bl.151,ap.44 sector 4",0213345871; 0728223364
SC CHRISTIAN INGRIJIRI PALIATIVE LA DOMICILIU SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Dudesti nr.104-122,bl-, ap.-,Sector 3",721593740
SC CLINICA PRIVATA DR. FILIP SRL,Ingrijiri medicale la domiciliu,"BUCURESTI,Cap. Eremia Popescu nr.21, sector 4",0213340071; 0721152872
SC P.U.S.A. MEDICAL CARE SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Luntrei nr.2-4, bl.8, sp.1 sector2",737228339
SOCIETATEA INTER HEALTH SYSTEMS S.A.,Ingrijiri medicale la domiciliu,"BUCURESTI, Sos. Fundeni nr. 74 Sector 2",212552350
SC PROF MEDICAL NURSING SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Catanoaia nr.12, sector 3",747612339
SC MEDICAL UNIT SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Bd. Dimitrie Cantemir nr.13, bl.11, ap.29, sector 4",0745076929; 0731135391
SC PALEATIV MEDICAL EXPERT SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Sachelarie Visarion nr.63, bl-, ap-, Sector 3",213103350
SC IDS LABORATORIES SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Bd. Marasesti nr.90, bl-, ap-, sector 4",213010483
SC CENTRUL MEDICAL SANA SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Sergiu Dumitru nr.3, ap.2, sector 1",0212128222; 0723698920; 0726340440;
SC SALVITAE SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Stelea Spataru nr.8, sector 3",0736325649; 0744487330
SC BROTAC MEDICAL CENTER SRL,Ingrijiri medicale la domiciliu,"BUCURESTI,Tuturelelor nr.11A,BL.-, ap. -,sector 3",722387173
SC SOROX MED SRL,Ingrijiri medicale la domiciliu,"BUCURESTI,Str. Maria Rosetti, nr.5 corp.A, DEMISOL",0737319815; 0216596006
SC INA MEDICAL EXPERT SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Tudor Gociu nr.47, sector 4",0314251363; 0726019618; 0764866157;
SC ART MED HELP SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Ramnicu Valcea, nr. 22, bl. 31, Sc. 1, parter,ap.4, Sector 3",722527325
SC INVESTIGMED FOR LIFE SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Aura Buzescu nr.24 C 1 (Corp cladire) Parter Camera 1 Camera 2, Sector 2",725666633
SC EBY SANATATE SRL,Ingrijiri medicale la domiciliu,"BUCURESTI,Str.Doamna Ghica, nr.20,bl.4,ap.19,sector.2",031/4168667; 0768150704; 0722240614;
SC C.M.D.T PROMEMORIA SRL,Ingrijiri medicale la domiciliu,"BUCURESTI,Str. G-ral Praporgescu nr.1-5 , etaj:Supanta, sector 1",0213106639; 0735537507
SC DR. ROSCA MEDICAL CENTER SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Titus nr.8, sector 4",215394950
SC VIZIT MED SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Lanariei nr.101, camera 4, sector 4",724497435
SC ANTOS GROUP DOCTOR ACASA SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Av. Petre Cretu nr.38, Sector 1",727385106
SC GAMA CLINIC CENTER SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Magura Vulturului nr.75, sector 2",0212568176; 0212568190; 0757888886; 0721274572
SC MEDICAL CLASS TWO SRL.,Ingrijiri medicale la domiciliu,"BUCURESTI, Sos. Virtutii nr. 11, bl.R 5a, AP.28, SECTOR 6",720011789
SC DEBIKA MEDICAL EXPERT SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Nicolae Constantinescu nr.66, bl-, mansarda, sector 1",021/2339783; 0724960980
SC HOME MEDICAL THERAPY SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Constantin Manescu, nr.1 bl.-, ap.2, sector 5",314120618
SC GERMAN GUARD DIVIZIA MEDICALA SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Limpejoarei nr.14 bl.-, ap.1, Sector 1",021/6670170; 0722464890
SC MEDIC LINE BUSINESS HEALTH SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Calea 13 Septembrie nr.221-223-225, et.3, Incinta Complex Comercial Prosper PLAZA , Sector 5",0213128282; 0766116111
SC MICON LIFE SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Bauxitei nr.16, sector 1",722412410
SC ALFA MEDICAL SERVICES SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str.Tulnici nr.6 bl.45 ap.3 sector 4",0216342341/0319495 tasta 5; 0729991260;
SC TASIA MED SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Drm.Valea Furcii, nr.96A ,bl.PJ.5, ap.16,Sector 6",737036288
CENTRUL MEDICAL DAVA,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Tulnici nr. 10 BL.40, PARTER, AP.3, Sector 4",216367475
SC EVITA MEDICAL SRL,Ingrijiri medicale la domiciliu,"BUCURESTI,Str. Mitropolit Filaret nr.38, Parter, cam.1-cam.2,Sector 4",0213351314; 0732121442; 0732121444
SC DOCTOR PLANTARIS SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Constantin F. Robescu nr.12, Mansarda Camera 2 si 3, Sector 3",720884788
SC CLARITAS SERVICII MEDICALE SRL,Ingrijiri medicale la domiciliu,"BUCURESTI,Str.Malcoci nr.4, Policlinica Rahova , Corp A, Parter, Incaperile Pozitiile nr. 2 si 3, Sector 5",723219194
SC MEDICAL ANDRESAN SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. DR. Grozovici nr.1, pavilion 6, Sector 2",0761614139; 0762648969
SC TERRA ACTIV PROD MED SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Sos. Oltenitei nr.105, bl. Turn et.5, cam.502, Sector 4",021/6341242 ; 0748222201
SC MEDLIFE SA,Ingrijiri medicale la domiciliu,"BUCUREST, Calea Victoriei nr.222, bl.D6, Sector 1",219646
SC PERFECT CARE SRL,Ingrijiri medicale la domiciliu,"BUCURESTI,Str. Prelungirea Ghencea nr. 94-100.bl.A3, ap.3027, sector 6",0767983237; 0727767646
SC MEDLINE CENTER SRL,Ingrijiri medicale la domiciliu,"BUCURESTI,Str.Horatiu, nr.20, corp B, et.1, sector1","0213136283, 0213136250"
SC ALICIA MEDICAL EXPERT SRL,Ingrijiri medicale la domiciliu,"BUCURESTI, Str. Sachelarie Visarion nr.63, bl-, ap-, Sector 3",213103350
FUNDATIA HOSPICE CASA SPERANTEI,Ingrijiri la domiciliu,"BUCURESTI,Str. Fetitelor nr.26, Sector3",372706210
FUNDATIA CRUCEA ALB GALBENA DIN ROMANIA,Ingrijiri la domiciliu,"BUCURESTI, Bd. Regina Maria nr.21 et.1,Bl.-, ap.-, sector 4",213151256
