contractNo,supplierName,Localitate,Adresa cabinetului,address,phone,email
1,CMI DR. NEDELCU BOGDANA ,Aninoasa,"str. Bujorului, bl. B, ap. 2","Aninoasa, str. Bujorului, bl. B, ap. 2",0729942346,bogdana.pauna@yahoo.com
2,CMI DR. TOMA ADRIAN RADU,Aninoasa,"str. Libertatii, nr. 103","Aninoasa, str. Libertatii, nr. 103",0733958390,adiradutoma@yahoo.com
3,CMI DR. MITEA MARIA-CRISTINA,Bacia,"str. Principala, nr. 199","Bacia, str. Principala, nr. 199",0727903246,mari_crs@yahoo.com
4,CMI DR. CIRCO GRATIAN PETRU,Baia de Cris,"str. Muntele Gaina, nr. 2","Baia de Cris, str. Muntele Gaina, nr. 2",0723983730,gratian.c@yahoo.com
5,CMI DR. CECILIA  PRUNDARU,Baia de Cris,"str. Muntele Gaina, nr. 2","Baia de Cris, str. Muntele Gaina, nr. 2",0254682117,prundarucecilia@gmail.com
6,CMI OMI-SAN,Baita,"str. Principala, nr. 22","Baita, str. Principala, nr. 22",0723260027,cristianstoica444@yahoo.ro
7,CMI DR. NEDELCU MARCELA,Balsa,str. Principala,"Balsa, str. Principala",0254648011,marcela_nedelcu2000@yahoo.com
8,CMI DR. CSEP GABRIEL,Baru-Mare,"str. Principala, nr. 222","Baru-Mare, str. Principala, nr. 222",0254778110,dr.csepgabriel@yahoo.com
9,CMI DR. TOZLOVANU ANGELA LIANA,Bârsau,"str. Principala, nr. 240","Bârsau, str. Principala, nr. 240",0722758602,cmidrta@hotmail.com
10,CMI DR. SAMOILESCU LIVIU,Beriu,"str. Principala, bl. 1","Beriu, str. Principala, bl. 1",0721778003,samoilescul@yahoo.com
11,CMI DR. MUNTEAN OANA,Blajeni,"str. Principala, nr. 60","Blajeni, str. Principala, nr. 60","0723610731, 0254682900",munteanoanairina@gmail.com
12,CMI MEDICINA DE FAMILIE,Bosorod,"str. Principala, nr. 152A","Bosorod, str. Principala, nr. 152A","0254733056, 0730615190",balaselgetta@gmail.com
