supplierName,medicName,locality,street,address,contractNo,landline,mobile,phone
CABINET MEDICAL INDIVIDUAL Dr. ALBON,CABINET MEDICAL INDIVIDUAL Dr. ALBON,SATU MARE,ZENIT,"SATU MARE, Strada ZENIT",153,,740841693,; 740841693
CABINET MEDICAL INDIVIDUAL Dr. AMBRUS DANIELA,CABINET MEDICAL INDIVIDUAL Dr. AMBRUS DANIELA,TARSOLT,PRINCIPALA,"TARSOLT, Strada PRINCIPALA",1,261833709,745657395,261833709; 745657395
SC MED DR ANDO SRL,SC MED DR ANDO SRL,SATU MARE,P-ta Eroii Revolutiei,"SATU MARE, Strada P-ta Eroii Revolutiei",235,261717899,722373054,261717899; 722373054
CABINET MEDICAL INDIVIDUAL DR. ARDELEAN FLORICA,CABINET MEDICAL INDIVIDUAL DR. ARDELEAN FLORICA,SATU MARE,Stefan cel Mare ,"SATU MARE, Strada Stefan cel Mare ",42,261717125,744670269,261717125; 744670269
CABINET MEDICAL INDIVIDUAL DR. ARDELEAN ANA MARIA,CABINET MEDICAL INDIVIDUAL DR. ARDELEAN ANA MARIA,SATU MARE,IOAN SLAVICI,"SATU MARE, Strada IOAN SLAVICI",229,,752601762,; 752601762
CABINET MEDICAL INDIVIDUAL Dr. BACSA REKA MARIA,CABINET MEDICAL INDIVIDUAL Dr. BACSA REKA MARIA,IOJIB,PRINCIPALA,"IOJIB, Strada PRINCIPALA",232,261842669,725570102,261842669; 725570102
SOCIETATE CIVILA MEDICALA SFANTUL ANTON,SOCIETATE CIVILA MEDICALA SFANTUL ANTON,SATU MARE,AUREL VLAICU,"SATU MARE, Strada AUREL VLAICU",145,770711459,740665828,770711459; 740665828
CABINET MEDICAL INDIVIDUAL Dr. BARBUL VASILE,CABINET MEDICAL INDIVIDUAL Dr. BARBUL VASILE,TURULUNG,VICTORIEI,"TURULUNG, Strada VICTORIEI",150,261836210,723728585,261836210; 723728585
CABINET MEDICAL INDIVIDUAL Dr.BARBUL,CABINET MEDICAL INDIVIDUAL Dr.BARBUL,ORASU NOU,TANCIU,"ORASU NOU, Strada TANCIU",91,261830008,,261830008; 
SC Dr BARTHA LD SRL-D,SC Dr BARTHA LD SRL-D,SATU MARE,IOAN SLAVICI,"SATU MARE, Strada IOAN SLAVICI",239,261715571,742114870,261715571; 742114870
CABINET MEDICAL INDIVIDUAL Dr. BARTIS ARPAD,CABINET MEDICAL INDIVIDUAL Dr. BARTIS ARPAD,CAREI,Albinelor,"CAREI, Strada Albinelor",19,261864497,745603844,261864497; 745603844
CABINET MEDICAL INDIVIDUAL DR. BESENYEI GEDO EVA,CABINET MEDICAL INDIVIDUAL DR. BESENYEI GEDO EVA,SATU MARE,LUCIAN BLAGA,"SATU MARE, Strada LUCIAN BLAGA",81,,745616848,; 745616848
CABINET MEDICAL INDIVIDUAL Dr. BESENYODI BEATA,CABINET MEDICAL INDIVIDUAL Dr. BESENYODI BEATA,TASNAD,ZORILOR,"TASNAD, Strada ZORILOR",225,,764575981,; 764575981
Dr. BIDILEAN MARIA SRL,Dr. BIDILEAN MARIA SRL,SATU MARE,PETOFI SANDOR,"SATU MARE, Strada PETOFI SANDOR",251,261806684,,261806684; 
CABINET MEDICAL INDIVIDUAL Dr. BILATIU,CABINET MEDICAL INDIVIDUAL Dr. BILATIU,SATU MARE,UZINEI,"SATU MARE, Strada UZINEI",163,261877095,,261877095; 
CABINET MEDICAL INDIVIDUAL DR BIRO ENIKO ANGELA,CABINET MEDICAL INDIVIDUAL DR BIRO ENIKO ANGELA,TURT,P-ta EROILOR,"TURT, Strada P-ta EROILOR",76,261834670,723581650,261834670; 723581650
SOCIETATE CIVILA MEDICALA Dr. BLAGA,SOCIETATE CIVILA MEDICALA Dr. BLAGA,BOGDAND,Principala,"BOGDAND, Strada Principala",188,261828223,744189026,261828223; 744189026
CABINET MEDICAL INDIVIDUAL Dr. BLASKO ELISABETA,CABINET MEDICAL INDIVIDUAL Dr. BLASKO ELISABETA,CAREI,Republicii,"CAREI, Strada Republicii",4,261868010,740644010,261868010; 740644010
CABINET MEDICAL INDIVIDUAL DR. BODIS VINCZE BARNA,CABINET MEDICAL INDIVIDUAL DR. BODIS VINCZE BARNA,TARNA MARE,PRINCIPALA,"TARNA MARE, Strada PRINCIPALA",54,261832009,,261832009; 
CABINET MEDICAL INDIVIDUAL DR. BOER ADAM,CABINET MEDICAL INDIVIDUAL DR. BOER ADAM,LAZURI,PRINCIPALA,"LAZURI, Strada PRINCIPALA",5,261753203,722336503,261753203; 722336503
CABINET MEDICAL INDIVIDUAL Dr. BOGDAN LOTICA,CABINET MEDICAL INDIVIDUAL Dr. BOGDAN LOTICA,SATU MARE,BOBOCULUI,"SATU MARE, Strada BOBOCULUI",103,,745250546,; 745250546
CABINET MEDICAL INDIVIDUAL Dr. BOLDUT ANGELA ERZSEBET,CABINET MEDICAL INDIVIDUAL Dr. BOLDUT ANGELA ERZSEBET,VETIS,PRINCIPALA,"VETIS, Strada PRINCIPALA",105,261820701,746120544,261820701; 746120544
CABINET MEDICAL INDIVIDUAL DISPENSAR VALEA VINULUI,CABINET MEDICAL INDIVIDUAL DISPENSAR VALEA VINULUI,VALEA VINULUI,PRINCIPALA,"VALEA VINULUI, Strada PRINCIPALA",37,261876706,745302228,261876706; 745302228
CABINET MEDICAL INDIVIDUAL Dr. BOTA,CABINET MEDICAL INDIVIDUAL Dr. BOTA,ODOREU,STADIONULUI,"ODOREU, Strada STADIONULUI",146,261775008,753669197,261775008; 753669197
CABINET MEDICAL INDIVIDUAL Dr. BOTEZAN MARIA LUCIA,CABINET MEDICAL INDIVIDUAL Dr. BOTEZAN MARIA LUCIA,SATU MARE,BOBOCULUI,"SATU MARE, Strada BOBOCULUI",17,,733648494,; 733648494
CABINET MEDICAL INDIVIDUAL DR. BUDAI,CABINET MEDICAL INDIVIDUAL DR. BUDAI,SATU MARE,TROTUSULUI,"SATU MARE, Strada TROTUSULUI",58,261743712,740632561,261743712; 740632561
SOCIETATE CIVILA MEDICALA Dr. BUMBULUT-Dr. BALAJ,SOCIETATE CIVILA MEDICALA Dr. BUMBULUT-Dr. BALAJ,SATU MARE,BOBOCULUI,"SATU MARE, Strada BOBOCULUI",68,361427500,744879333,361427500; 744879333
CABINET MEDICAL INDIVIDUAL DR BURTICEL LIANA,CABINET MEDICAL INDIVIDUAL DR BURTICEL LIANA,SATU MARE,Mihai Viteazu,"SATU MARE, Strada Mihai Viteazu",158,,756806426,; 756806426
CABINET MEDICAL INDIVIDUAL DR. CAMPEANU FELICIA,CABINET MEDICAL INDIVIDUAL DR. CAMPEANU FELICIA,SATU MARE,1 DECEMBRIE 1918,"SATU MARE, Strada 1 DECEMBRIE 1918",45,261736605,722980333,261736605; 722980333
